x_name,x_type,y_name,y_type,relation
meprobamate,drug,headache,disease,treats
doxylamine,drug,headache,disease,treats
sodium benzoate,drug,headache,disease,treats
butalbital,drug,headache,disease,treats
azathioprine,drug,crohn's disease,disease,treats
natalizumab,drug,crohn's disease,disease,treats
ustekinumab,drug,crohn's disease,disease,treats
budesonide,drug,crohn's disease,disease,treats
efficacy study of botulinum toxin (botox) injections to treat vocal fold granulomas,drug,crohn's disease,disease,treats
simple hygiene versus alcohol based usual care for umbilical cord,drug,crohn's disease,disease,treats
comparing xperguide vs. conventional methods during percutaneous image guided procedures,drug,crohn's disease,disease,treats
azathioprine,drug,ulcerative colitis,disease,treats
cortisol,drug,ulcerative colitis,disease,treats
balsalazide,drug,ulcerative colitis,disease,treats
olsalazine,drug,ulcerative colitis,disease,treats
adalimumab,drug,ulcerative colitis,disease,treats
tacrolimus,drug,ulcerative colitis,disease,treats
mesalazine,drug,ulcerative colitis,disease,treats
certolizumab pegol,drug,ulcerative colitis,disease,treats
golimumab,drug,ulcerative colitis,disease,treats
infliximab,drug,ulcerative colitis,disease,treats
etanercept,drug,ulcerative colitis,disease,treats
betamethasone,drug,ulcerative colitis,disease,treats
sulfasalazine,drug,ulcerative colitis,disease,treats
ustekinumab,drug,ulcerative colitis,disease,treats
budesonide,drug,ulcerative colitis,disease,treats
methotrexate,drug,ulcerative colitis,disease,treats
prednisone,drug,ulcerative colitis,disease,treats
budesonide/formoterol,drug,ulcerative colitis,disease,treats
tofacitinib,drug,ulcerative colitis,disease,treats
vedolizumab,drug,ulcerative colitis,disease,treats
prednisolone,drug,ulcerative colitis,disease,treats
management of ulcerative colitis,drug,ulcerative colitis,disease,treats
mercaptopurine hydrate,drug,ulcerative colitis,disease,treats
(−)-nicotine,drug,ulcerative colitis,disease,treats
azathioprine,drug,systemic lupus erythematosus,disease,treats
cyclosporine,drug,systemic lupus erythematosus,disease,treats
(rs)-cyclophosphamide,drug,systemic lupus erythematosus,disease,treats
hydroxychloroquine,drug,systemic lupus erythematosus,disease,treats
triamcinolone,drug,systemic lupus erythematosus,disease,treats
frentizole,drug,systemic lupus erythematosus,disease,treats
oseltamivir,drug,influenza,disease,treats
amantadine,drug,influenza,disease,treats
peramivir,drug,influenza,disease,treats
anti-influenza drug,drug,influenza,disease,treats
baloxavir marboxil,drug,influenza,disease,treats
influenza treatment,drug,influenza,disease,treats
avigan,drug,influenza,disease,treats
eltrombopag,drug,anemia,disease,treats
oxymetholone,drug,anemia,disease,treats
nandrolone,drug,anemia,disease,treats
sodium ascorbate,drug,anemia,disease,treats
(rs)-lenalidomide,drug,anemia,disease,treats
anti-anemic,drug,anemia,disease,treats
chalybeate spring,drug,anemia,disease,treats
deferasirox,drug,anemia,disease,treats
epoetin alfa,drug,anemia,disease,treats
methoxy polyethylene glycol-epoetin beta,drug,anemia,disease,treats
sodium ferric gluconate complex,drug,anemia,disease,treats
copper-iron spring,drug,anemia,disease,treats
ferric carboxymaltose,drug,anemia,disease,treats
daprodustat,drug,anemia,disease,treats
iron sucrose,drug,anemia,disease,treats
ferumoxides,drug,anemia,disease,treats
conversion therapy,drug,homosexuality,disease,treats
tenofovir disoproxil,drug,hepatitis b,disease,treats
adefovir,drug,hepatitis b,disease,treats
peginterferon alfa-2a,drug,hepatitis b,disease,treats
lamivudine,drug,hepatitis b,disease,treats
clevudine,drug,hepatitis b,disease,treats
tenofovir alafenamide,drug,hepatitis b,disease,treats
entecavir hydrate,drug,hepatitis b,disease,treats
bicyclol,drug,hepatitis b,disease,treats
azathioprine,drug,multiple sclerosis,disease,treats
hydroxocobalamin,drug,multiple sclerosis,disease,treats
corticotropin,drug,multiple sclerosis,disease,treats
mitoxantrone,drug,multiple sclerosis,disease,treats
cyanocobalamin,drug,multiple sclerosis,disease,treats
dalfampridine,drug,multiple sclerosis,disease,treats
natalizumab,drug,multiple sclerosis,disease,treats
(rs)-cyclophosphamide,drug,multiple sclerosis,disease,treats
gabapentin,drug,multiple sclerosis,disease,treats
modafinil,drug,multiple sclerosis,disease,treats
pregabalin,drug,multiple sclerosis,disease,treats
rituximab,drug,multiple sclerosis,disease,treats
daclizumab,drug,multiple sclerosis,disease,treats
(rs)-baclofen,drug,multiple sclerosis,disease,treats
cladribine,drug,multiple sclerosis,disease,treats
betamethasone,drug,multiple sclerosis,disease,treats
methylprednisolone,drug,multiple sclerosis,disease,treats
dimethyl fumarate,drug,multiple sclerosis,disease,treats
armodafinil,drug,multiple sclerosis,disease,treats
alemtuzumab,drug,multiple sclerosis,disease,treats
dantrolene,drug,multiple sclerosis,disease,treats
fingolimod,drug,multiple sclerosis,disease,treats
interferon beta-1b,drug,multiple sclerosis,disease,treats
ocrelizumab,drug,multiple sclerosis,disease,treats
interferon beta-1a,drug,multiple sclerosis,disease,treats
apremilast,drug,multiple sclerosis,disease,treats
haloperidol,drug,mental disorder,disease,treats
sertraline,drug,mental disorder,disease,treats
(rs)-citalopram,drug,mental disorder,disease,treats
lamotrigine,drug,mental disorder,disease,treats
aripiprazole,drug,mental disorder,disease,treats
(s)-duloxetine,drug,mental disorder,disease,treats
risperidone,drug,mental disorder,disease,treats
fluoxetine,drug,mental disorder,disease,treats
paliperidone,drug,mental disorder,disease,treats
psychiatric medication,drug,mental disorder,disease,treats
treatment of mental disorders,drug,mental disorder,disease,treats
"mental health among patients, providers, and staff during the covid-19 era (mhapps)",drug,mental disorder,disease,treats
aspirin,drug,myocardial infarction,disease,treats
(rs)-metoprolol,drug,myocardial infarction,disease,treats
clopidogrel,drug,myocardial infarction,disease,treats
verapamil,drug,myocardial infarction,disease,treats
atenolol,drug,myocardial infarction,disease,treats
bisoprolol,drug,myocardial infarction,disease,treats
carvedilol,drug,myocardial infarction,disease,treats
(s)-(−)-timolol,drug,myocardial infarction,disease,treats
tirofiban,drug,myocardial infarction,disease,treats
streptokinase,drug,myocardial infarction,disease,treats
pindolol,drug,myocardial infarction,disease,treats
esmolol,drug,myocardial infarction,disease,treats
acebutolol,drug,myocardial infarction,disease,treats
diltiazem,drug,myocardial infarction,disease,treats
propranolol,drug,myocardial infarction,disease,treats
nadolol,drug,myocardial infarction,disease,treats
penbutolol,drug,myocardial infarction,disease,treats
labetalol,drug,myocardial infarction,disease,treats
tenecteplase,drug,myocardial infarction,disease,treats
dalteparin,drug,myocardial infarction,disease,treats
percutaneous coronary intervention,drug,myocardial infarction,disease,treats
eptifibatide,drug,myocardial infarction,disease,treats
pharmaceutical preparation of nitroglycerin,drug,myocardial infarction,disease,treats
anisindione,drug,myocardial infarction,disease,treats
sulfinpyrazone,drug,myocardial infarction,disease,treats
anistreplase,drug,myocardial infarction,disease,treats
esatenolol,drug,myocardial infarction,disease,treats
urokinase,drug,myocardial infarction,disease,treats
cinchonidine,drug,malaria,disease,treats
(rs)-primaquine,drug,malaria,disease,treats
pyrimethamine,drug,malaria,disease,treats
hydroxychloroquine,drug,malaria,disease,treats
chloroquine,drug,malaria,disease,treats
doxycycline,drug,malaria,disease,treats
antimalarial,drug,malaria,disease,treats
mefloquine,drug,malaria,disease,treats
sulfadiazine,drug,malaria,disease,treats
artemether/lumefantrine,drug,malaria,disease,treats
primaquine phosphate,drug,malaria,disease,treats
bitterwood,drug,malaria,disease,treats
dl-amphetamine,drug,obesity,disease,treats
d-methamphetamine,drug,obesity,disease,treats
mazindol,drug,obesity,disease,treats
(+)-norephedrin,drug,obesity,disease,treats
phentermine,drug,obesity,disease,treats
orlistat,drug,obesity,disease,treats
phendimetrazine,drug,obesity,disease,treats
(rs)-diethylpropion,drug,obesity,disease,treats
benzphetamine,drug,obesity,disease,treats
phenmetrazine,drug,obesity,disease,treats
chlorphentermine,drug,obesity,disease,treats
dirlotapide,drug,obesity,disease,treats
sulphur spring,drug,obesity,disease,treats
semaglutide,drug,obesity,disease,treats
(-)-norephedrine hydrochloride,drug,obesity,disease,treats
lorcaserin hydrochloride,drug,obesity,disease,treats
promoting successful weight loss in primary care in louisiana,drug,obesity,disease,treats
obesity management,drug,obesity,disease,treats
weight loss treatment,drug,obesity,disease,treats
amycretin,drug,obesity,disease,treats
clarithromycin,drug,pneumonia,disease,treats
azithromycin,drug,pneumonia,disease,treats
metronidazole,drug,pneumonia,disease,treats
ciprofloxacin,drug,pneumonia,disease,treats
n-acetyl-l-cysteine,drug,pneumonia,disease,treats
rac-salbutamol,drug,pneumonia,disease,treats
linezolid,drug,pneumonia,disease,treats
voriconazole,drug,pneumonia,disease,treats
cefuroxime,drug,pneumonia,disease,treats
sucralfate,drug,pneumonia,disease,treats
tigecycline,drug,pneumonia,disease,treats
ceftriaxone,drug,pneumonia,disease,treats
doxycycline,drug,pneumonia,disease,treats
vancomycin,drug,pneumonia,disease,treats
tiotropium,drug,pneumonia,disease,treats
moxifloxacin,drug,pneumonia,disease,treats
budesonide/formoterol,drug,pneumonia,disease,treats
sparfloxacin,drug,pneumonia,disease,treats
tobramycin,drug,pneumonia,disease,treats
cefepime,drug,pneumonia,disease,treats
tosufloxacin,drug,pneumonia,disease,treats
dicloxacillin sodium,drug,pneumonia,disease,treats
meropenem trihydrate,drug,pneumonia,disease,treats
levofloxacin hemihydrate,drug,pneumonia,disease,treats
albuterol / ipratropium,drug,pneumonia,disease,treats
hydroflumethiazide,drug,arterial hypertension,disease,treats
amlodipine/benazepril,drug,arterial hypertension,disease,treats
amlodipine/valsartan,drug,arterial hypertension,disease,treats
bepridil,drug,arterial hypertension,disease,treats
bunazosin,drug,arterial hypertension,disease,treats
clevidipine,drug,arterial hypertension,disease,treats
cyclothiazide,drug,arterial hypertension,disease,treats
dash diet,drug,arterial hypertension,disease,treats
deserpidine,drug,arterial hypertension,disease,treats
guanabenz,drug,arterial hypertension,disease,treats
guanadrel,drug,arterial hypertension,disease,treats
guanfacine,drug,arterial hypertension,disease,treats
sacubitril/valsartan,drug,arterial hypertension,disease,treats
mefruside,drug,arterial hypertension,disease,treats
methyclothiazide,drug,arterial hypertension,disease,treats
mibefradil,drug,arterial hypertension,disease,treats
polythiazide,drug,arterial hypertension,disease,treats
telmisartan/hydrochlorothiazide,drug,arterial hypertension,disease,treats
atenolol/chlorthalidone,drug,arterial hypertension,disease,treats
trimethaphan,drug,arterial hypertension,disease,treats
copper-iron spring,drug,arterial hypertension,disease,treats
radioactive hot spring,drug,arterial hypertension,disease,treats
sulfur spring,drug,arterial hypertension,disease,treats
dabigatran etexilate,drug,arterial hypertension,disease,treats
esatenolol,drug,arterial hypertension,disease,treats
management of hypertension,drug,arterial hypertension,disease,treats
bepafant,drug,arterial hypertension,disease,treats
carteolol hydrochloride,drug,arterial hypertension,disease,treats
(r)-betaxolol,drug,arterial hypertension,disease,treats
